iter	Passed	Remaining
416	2968	4149
417	2971	4136
418	2973	4122
419	2974	4108
420	2992	4115
421	2994	4101
422	2996	4086
423	3001	4076
424	3003	4062
425	3005	4049
426	3007	4035
427	3009	4021
428	3011	4008
429	3015	3997
430	3068	4051
431	3070	4037
432	3072	4023
433	3074	4009
434	3076	3996
435	3078	3982
436	3084	3974
437	3086	3960
438	3089	3948
439	3091	3934
440	3094	3921
441	3101	3915
442	3103	3902
443	3105	3888
444	3107	3875
445	3110	3863
446	3114	3853
447	3116	3840
448	3118	3827
449	3120	3814
450	3122	3801
451	3125	3789
452	3130	3780
453	3132	3767
454	3135	3755
455	3137	3743
456	3139	3730
457	3142	3718
458	3145	3707
459	3147	3694
460	3149	3682
461	3152	3671
462	3155	3659
463	3157	3647
464	3162	3638
465	3165	3626
466	3167	3614
467	3170	3603
468	3172	3591
469	3174	3579
470	3179	3570
471	3181	3558
472	3201	3566
473	3203	3554
474	3205	3542
475	3207	3530
476	3209	3518
477	3212	3507
478	3214	3496
479	3216	3484
480	3218	3472
481	3219	3460
482	3224	3451
483	3226	3440
484	3228	3428
485	3230	3417
486	3232	3405
487	3238	3397
488	3241	3386
489	3246	3379
490	3248	3367
491	3250	3356
492	3256	3348
493	3260	3339
494	3262	3328
495	3264	3316
496	3266	3305
497	3271	3297
498	3273	3286
499	3275	3275
500	3277	3264
501	3281	3255
502	3286	3247
503	3288	3236
504	3290	3225
505	3292	3214
506	3294	3203
507	3296	3192
508	3301	3184
509	3303	3173
510	3306	3163
511	3310	3155
512	3312	3144
513	3314	3134
514	3317	3123
515	3320	3115
516	3325	3106
517	3327	3096
518	3329	3086
519	3332	3075
520	3334	3065
521	3337	3056
522	3349	3055
523	3364	3056
524	3367	3046
525	3369	3036
526	3374	3028
527	3376	3018
528	3381	3010
529	3383	3000
530	3397	3001
531	3399	2990
532	3401	2980
533	3411	2977
534	3413	2967
535	3415	2957
536	3417	2946
537	3422	2939
538	3424	2929
539	3426	2919
540	3428	2909
541	3430	2898
542	3450	2904
543	3460	2901
544	3463	2891
545	3465	2881
546	3467	2871
547	3473	2864
548	3475	2854
549	3477	2844
550	3479	2835
551	3481	2825
552	3486	2818
553	3488	2808
554	3490	2798
555	3492	2789
556	3494	2779
557	3588	2842
558	3591	2833
559	3594	2824
560	3601	2818
561	3604	2809
562	3606	2799
563	3608	2789
564	3609	2779
565	3612	2769
566	3614	2760
567	3616	2750
568	3618	2741
569	3620	2731
570	3622	2721
571	3625	2712
572	3630	2705
573	3632	2695
574	3634	2686
575	3636	2676
576	3638	2667
577	3640	2657
578	3642	2648
579	3646	2640
580	3649	2632
581	3652	2623
582	3656	2615
583	3661	2607
584	3664	2599
585	3667	2590
586	3669	2581
587	3671	2572
588	3673	2563
589	3677	2555
590	3679	2546
591	3681	2537
592	3683	2528
593	3685	2519
594	3687	2509
595	3691	2502
596	3694	2493
597	3696	2485
598	3698	2476
599	3700	2467
600	3702	2458
601	3706	2450
602	3708	2441
603	3711	2433
604	3713	2424
605	3715	2415
606	3717	2406
607	3718	2397
608	3723	2390
609	3728	2383
610	3732	2376
611	3735	2367
612	3740	2361
613	3743	2353
614	3745	2344
615	3746	2335
616	3748	2327
617	3750	2318
618	3756	2311
619	3758	2303
620	3760	2294
621	3762	2286
622	3764	2277
623	3766	2269
624	3771	2262
625	3774	2255
626	3776	2246
627	3778	2238
628	3780	2229
629	3785	2223
630	3787	2214
631	3789	2206
632	3791	2198
633	3793	2189
634	3795	2181
635	3797	2173
636	3802	2166
637	3804	2158
638	3805	2150
639	3807	2141
640	3809	2133
641	3811	2125
642	3816	2119
643	3818	2110
644	3820	2102
645	3822	2094
646	3824	2086
647	3826	2078
648	3828	2070
649	3835	2065
650	3837	2057
651	3839	2049
652	3841	2041
653	3844	2033
654	3849	2027
655	3851	2019
656	3853	2011
657	3855	2003
658	3857	1996
659	3866	1992
660	3869	1984
661	3872	1977
662	3875	1969
663	3880	1963
664	3882	1955
665	3884	1948
666	3886	1940
667	3888	1932
668	3891	1925
669	3897	1919
670	3900	1912
671	3902	1904
672	3904	1897
673	3907	1889
674	3909	1882
675	3911	1874
676	3914	1867
677	3916	1859
678	3920	1853
679	3923	1846
680	3925	1838
681	3927	1831
682	3930	1824
683	3932	1816
684	3936	1810
685	3938	1802
686	3940	1795
687	3942	1788
688	3944	1780
689	3946	1773
690	3952	1767
691	3954	1760
692	3956	1752
693	3959	1745
694	3961	1738
695	3963	1731
696	3975	1728
697	3977	1720
698	3979	1713
699	3984	1707
700	3986	1700
701	3988	1693
702	3990	1685
703	3992	1678
704	3994	1671
705	3999	1665
706	4001	1658
707	4007	1652
708	4011	1646
709	4016	1640
710	4018	1633
711	4020	1626
712	4022	1619
713	4025	1612
714	4026	1605
715	4031	1598
716	4033	1592
717	4035	1584
718	4037	1577
719	4039	1570
720	4041	1563
721	4046	1557
722	4048	1551
723	4050	1544
724	4052	1537
725	4054	1530
726	4056	1523
727	4061	1517
728	4065	1511
729	4070	1505
730	4073	1498
731	4077	1492
732	4079	1486
733	4081	1479
734	4083	1472
735	4085	1465
736	4087	1458
737	4092	1452
738	4094	1446
739	4096	1439
740	4098	1432
741	4100	1425
742	4102	1419
743	4104	1412
744	4109	1406
745	4111	1399
746	4113	1393
747	4115	1386
748	4117	1379
749	4119	1373
750	4123	1367
751	4125	1360
752	4127	1354
753	4130	1347
754	4132	1341
755	4134	1334
756	4136	1327
757	4140	1321
758	4142	1315
759	4144	1308
760	4145	1302
761	4147	1295
762	4149	1288
763	4154	1283
764	4156	1276
765	4159	1270
766	4161	1264
767	4163	1257
768	4165	1251
769	4167	1244
770	4168	1238
771	4170	1231
772	4172	1225
773	4173	1218
774	4175	1212
775	4177	1205
776	4179	1199
777	4183	1193
778	4185	1187
779	4187	1180
780	4188	1174
781	4190	1168
782	4192	1161
783	4193	1155
784	4195	1149
785	4199	1143
786	4201	1137
787	4202	1130
788	4204	1124
789	4205	1118
790	4207	1111
791	4209	1105
792	4210	1099
793	4212	1093
794	4214	1086
795	4215	1080
796	4217	1074
797	4219	1068
798	4221	1061
799	4222	1055
800	4226	1050
801	4229	1044
802	4233	1038
803	4236	1032
804	4252	1030
805	4255	1024
806	4257	1018
807	4307	1023
808	4311	1018
809	4322	1013
810	4326	1008
811	4331	1002
812	4344	999
813	4347	993
814	4364	990
815	4366	984
816	4372	979
817	4376	973
818	4379	967
819	4382	961
820	4400	959
821	4408	954
822	4411	948
823	4414	942
824	4422	938
825	4429	933
826	4431	927
827	4436	921
828	4438	915
829	4440	909
830	4442	903
831	4443	897
832	4445	891
833	4447	885
834	4452	879
835	4454	873
836	4455	867
837	4457	861
838	4459	855
839	4461	849
840	4466	844
841	4467	838
842	4469	832
843	4471	826
844	4473	820
845	4475	814
846	4476	808
847	4481	803
848	4482	797
849	4484	791
850	4486	785
851	4488	779
852	4489	773
853	4491	767
854	4492	761
855	4497	756
856	4499	750
857	4500	744
858	4503	739
859	4506	733
860	4512	728
861	4514	722
862	4516	717
863	4520	711
864	4521	705
865	4526	700
866	4528	694
867	4530	689
868	4532	683
869	4533	677
870	4535	671
871	4537	666
872	4541	660
873	4543	655
874	4545	649
875	4547	643
876	4548	637
877	4550	632
878	4551	626
879	4553	620
880	4557	615
881	4559	610
882	4561	604
883	4562	598
884	4564	593
885	4566	587
886	4567	581
887	4569	576
888	4571	570
889	4578	565
890	4580	560
891	4582	554
892	4587	549
893	4589	544
894	4591	538
895	4593	533
896	4594	527
897	4596	522
898	4598	516
899	4603	511
900	4605	505
901	4606	500
902	4608	495
903	4610	489
904	4611	484
905	4613	478
906	4618	473
907	4620	468
908	4624	462
909	4626	457
910	4628	452
911	4633	447
912	4635	441
913	4636	436
914	4638	430
915	4639	425
916	4641	420
917	4642	414
918	4644	409
919	4649	404
920	4651	398
921	4652	393
922	4654	388
923	4656	382
924	4657	377
925	4659	372
926	4664	367
927	4665	362
928	4667	356
929	4669	351
930	4671	346
931	4673	340
932	4675	335
933	4679	330
934	4680	325
935	4682	320
936	4684	314
937	4685	309
938	4687	304
939	4688	299
940	4690	294
941	4694	289
942	4696	283
943	4698	278
944	4699	273
945	4701	268
946	4702	263
947	4705	258
948	4709	253
949	4712	248
950	4715	242
951	4718	237
952	4721	232
953	4725	227
954	4727	222
955	4729	217
956	4730	212
957	4733	207
958	4736	202
959	4740	197
960	4743	192
961	4757	187
962	4761	182
963	4764	177
964	4766	172
965	4775	168
966	4777	163
967	4780	158
968	4782	153
969	4791	148
970	4793	143
971	4796	138
972	4802	133
973	4805	128
974	4808	123
975	4810	118
976	4812	113
977	4828	108
978	4841	103
979	4844	98
980	4857	94
981	4860	89
982	4873	84
983	4875	79
984	4882	74
985	4884	69
986	4887	64
987	4890	59
988	4893	54
989	4899	49
990	4902	44
991	4908	39
992	4924	34
993	4926	29
994	4929	24
995	4935	19
996	4937	14
997	4943	9
998	4946	4
999	4949	0
